date,tag,run_id,phase,prompt_id,category,error_class,http_status,timestamp,terminal,stop_phase,message
2026-06-30,media-exp-2026-06-30,run_20260630_144301,video,v001,product-video,server_busy,503,2026-06-30T14:43:01+08:00,False,True,"Agnes HTTP 503: {""code"": ""fail_to_fetch_task"", ""message"": ""{\""error\"":{\""message\"":\""litellm.ServiceUnavailableError: ServiceUnavailableError: OpenAIException - {\\\""error\\\"":{\\\""message\\\"":\\\""Service busy (tasks: 1)\\\"",\\\""code\\\"":\\\""503\\\"",\\\""type\\\"":\\\""server_error\\\""}}\"",\""type\"":null,\""param\"":null,\""code\"":\""503\""}}"", ""data"": null}"
2026-06-30,media-exp-2026-06-30,run_20260630_144301,image,i0022,product,server_busy,500,2026-06-30T15:46:58+08:00,False,True,"Agnes HTTP 500: {""error"": {""message"": ""upstream error: do request failed (request id: 20260630074658332657511kWlja29N)"", ""type"": ""AgnesAI_error"", ""param"": """", ""code"": ""do_request_failed""}}"
2026-06-30,media-exp-2026-06-30,run_20260630_165959,video,v001,product-video,server_busy,503,2026-06-30T16:59:59+08:00,False,True,"Agnes HTTP 503: {""code"": ""fail_to_fetch_task"", ""message"": ""{\""error\"":{\""message\"":\""litellm.ServiceUnavailableError: ServiceUnavailableError: OpenAIException - {\\\""error\\\"":{\\\""message\\\"":\\\""Service busy (tasks: 1)\\\"",\\\""code\\\"":\\\""503\\\"",\\\""type\\\"":\\\""server_error\\\""}}\"",\""type\"":null,\""param\"":null,\""code\"":\""503\""}}"", ""data"": null}"
2026-06-30,media-exp-2026-06-30,run_20260630_165959,image,i0012,product,server_busy,503,2026-06-30T17:35:56+08:00,False,True,"Agnes HTTP 503: {""error"": {""message"": ""***.ServiceUnavailableError: ServiceUnavailableError: OpenAIException - Error code: 503 - {'detail': 'Service busy (id: req_560ff1d8a0cf423ebd2e783f4e3b5d2a)'}"", ""type"": ""upstream_error"", ""param"": """", ""code"": ""503""}}"
2026-06-30,media-exp-2026-06-30,run_20260630_190013,video,v001,product-video,server_busy,503,2026-06-30T19:00:13+08:00,False,True,"Agnes HTTP 503: {""code"": ""fail_to_fetch_task"", ""message"": ""{\""error\"":{\""message\"":\""litellm.ServiceUnavailableError: ServiceUnavailableError: OpenAIException - {\\\""error\\\"":{\\\""message\\\"":\\\""Service busy (tasks: 1)\\\"",\\\""code\\\"":\\\""503\\\"",\\\""type\\\"":\\\""server_error\\\""}}\"",\""type\"":null,\""param\"":null,\""code\"":\""503\""}}"", ""data"": null}"
2026-06-30,media-exp-2026-06-30,run_20260630_190013,image,i0009,product,server_busy,520,2026-06-30T19:25:23+08:00,False,True,"Agnes HTTP 520 retry_after=60: {""text"": ""<!DOCTYPE html>\n<!--[if lt IE 7]> <html class=\""no-js ie6 oldie\"" lang=\""en-US\""> <![endif]-->\n<!--[if IE 7]>    <html class=\""no-js ie7 oldie\"" lang=\""en-US\""> <![endif]-->\n<!--[if IE 8]>    <html class=\""no-js ie8 oldie\"" lang=\""en-US\""> <![endif]-->\n<!--[if gt IE 8]><!--> <html class=\""no-js\"" lang=\""en-US\""> <!--<![endif]-->\n<head>\n\n<title>agnes-ai.com | 520: Web server is returning an unknown error</title>\n<meta charset=\""UTF-8\"" />\n<meta http-equiv=\""Content-Type\"" content=\""text/html; charset=UTF-8\"" />\n<meta http-equiv=\""X-UA-Compatible\"" content=\""IE=Edge\"" />\n<meta name=\""robots\"" content=\""noindex, nofollow\"" />\n<meta name=\""viewport\"" content=\""width=device-width,initial-scale=1\"" />\n<link rel=\""stylesheet\"" id=\""cf_styles-css\"" href=\""/cdn-cgi/styles/main.css\"" />\n</head>\n<body>\n<div id=\""cf-wrapper\"">\n    <div id=\""cf-error-details\"" class=\""p-0\"">\n        <header class=\""mx-auto pt-10 lg:pt-6 lg:px-8 w-240 lg:w-f"
2026-07-01,media-exp-2026-07-01,run_20260701_144028,video,v001,product-video,server_busy,503,2026-07-01T14:40:28+08:00,False,True,"Agnes HTTP 503: {""code"": ""fail_to_fetch_task"", ""message"": ""{\""error\"":{\""message\"":\""litellm.ServiceUnavailableError: ServiceUnavailableError: OpenAIException - {\\\""error\\\"":{\\\""message\\\"":\\\""Service busy (tasks: 1)\\\"",\\\""code\\\"":\\\""503\\\"",\\\""type\\\"":\\\""server_error\\\""}}\"",\""type\"":null,\""param\"":null,\""code\"":\""503\""}}"", ""data"": null}"
2026-07-01,media-exp-2026-07-01,run_20260701_144028,image,i0001,product,server_busy,500,2026-07-01T14:41:07+08:00,False,True,"Agnes HTTP 500: {""error"": {""message"": ""upstream error: do request failed (request id: 20260701064107223564200lZ5nML0f)"", ""type"": ""AgnesAI_error"", ""param"": """", ""code"": ""do_request_failed""}}"
2026-07-02,media-exp-2026-07-02,run_20260702_132745,image,i0033,architecture,server_busy,500,2026-07-02T15:28:05+08:00,False,True,"Agnes HTTP 500: {""error"": {""message"": ""upstream error: do request failed (request id: 20260702072805953095363VeQosR3R)"", ""type"": ""AgnesAI_error"", ""param"": """", ""code"": ""do_request_failed""}}"
2026-07-03,media-exp-2026-07-03,run_20260703_112425,image,i0029,product,server_busy,500,2026-07-03T13:13:17+08:00,False,True,"Agnes HTTP 500: {""error"": {""message"": ""upstream error: do request failed (request id: 20260703051317548068077INd9YMkv)"", ""type"": ""AgnesAI_error"", ""param"": """", ""code"": ""do_request_failed""}}"
